,train_f1,train_recall,train_f1_macro,train_recall_macro,test_f1,test_recall,test_f1_macro,test_recall_macro,best_cv_score,refit_time,best_params
DUMMY,0.04581151832460733,0.43478260869565216,0.35273769193541293,0.4674355443053557,0.07556675062972291,0.5,0.3551963106382446,0.48770491803278687,0.05792437535187993,0.005316019058227539,{'clf__strategy': 'uniform'}
GB,0.48717948717948717,0.35403726708074534,0.7383219648364512,0.6756029548994242,0.2222222222222222,0.13333333333333333,0.6008622092077436,0.5651763537009439,0.13352359847340206,0.23241734504699707,"{'scaler__unit_variance': False, 'clf__n_estimators': 100, 'clf__min_impurity_decrease': 0.12, 'clf__max_features': 'sqrt', 'clf__max_depth': 3, 'clf__loss': 'deviance', 'clf__learning_rate': 0.14337423288737733}"
RF,0.4388807069219439,0.9254658385093167,0.7020351456035028,0.9300838305977834,0.3387096774193548,0.7,0.6372734615578777,0.7956035767511177,0.2931748882394506,0.6700091361999512,"{'scaler__unit_variance': True, 'clf__n_estimators': 125, 'clf__min_impurity_decrease': 0.0, 'clf__max_features': 'sqrt', 'clf__max_depth': 6, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}"
IF,0.10067763794772507,0.32298136645962733,0.5064808263386062,0.5889371528812029,0.15254237288135591,0.3,0.5373303764718307,0.5911326378539493,0.09105366110362201,0.3914072513580322,"{'scaler__unit_variance': True, 'clf__n_estimators': 125, 'clf__contamination': 0.15, 'clf__bootstrap': False}"
